Codigo_Producto_SKU,Nombre,Descripcion_Producto,Stock,Categoria,Imagen(url del servidor)
1194,Cinta Delimitadora de Peligro,Cinta amarilla y negra de alta visibilidad.,90,SEGURIDAD,https://server.com/img/cinta_pel_194.jpg
1195,Sello de Goma para Puertas y Ventanas,Burlete autoadhesivo para aislar.,150,HERRAJES,https://server.com/img/sello_195.jpg
NULL,Adhesivo de Contacto Neopreno,Pegamento líquido para caucho y cuero.,100,quimicos,https://server.com/img/adhesivo_196.jpg
1197,Interruptor Termomagnético 10 Amps,Breaker de protección para circuitos de baja potencia.,70,ELECTRICIDAD,https://server.com/img/breaker_197.jpg
1198,Linterna de Trabajo LED Plegable,Linterna con base magnética y gancho de suspensión.,40,ILUMINACION,https://server.com/img/linterna_198.jpg
1199,Juego de Llaves Allen con Mango,Llaves hexagonales ergonómicas.,60,Manuales,https://server.com/img/allen_199.jpg
"1200-Z,Tubo Flexible para Gas 1/2"",Tubo corrugado de acero inoxidable para instalaciones de gas.,25,FONTANERIA,https://server.com/img/tubo_200.jpg"
SKU-1201,Set de Brocas SDS Plus para Mampostería,Juego de brocas para taladro percutor.,85,Brocas,https://server.com/img/brocas_201.jpg
1202,Soldadura de Estaño en Rollo 500g,Soldadura con núcleo de fundente para electrónica.,50,SOLDADURA,https://server.com/img/estaño_202.jpg
4532T,Pintura Anticorrosiva Base Aceite,Pintura protectora para metales expuestos.,14,PINTURAS,https://server.com/img/anticorrosiva_203.jpg
1204,Manguera de Succión 2 Pulgadas,Manguera reforzada para bombas de agua.,8,JARDINERÍA,https://server.com/img/manguera_204.jpg
1205,Arco de Sierra para Metales,Sierra manual con hoja de repuesto.,95,HERRAMIENTAS MANUALES,https://server.com/img/arco_sierra_205.jpg
NULL,Rueda para Carretilla Neumática,Rueda de repuesto con eje y balineras.,15,SEGURIDAD,https://server.com/img/rueda_206.jpg
"1207,Discos de Corte Diamantados 7"",Disco para cortar concreto, ladrillo y piedra.,75,CONSUMIBLES,https://server.com/img/disco_207.jpg"
1208,Pegamento para PVC Rígido,Adhesivo líquido para tuberías de fontanería.,130,quimicos,https://server.com/img/pegamento_208.jpg
1209,Cinta Doble Cara Extra Fuerte,Cinta de espuma acrílica para montaje sin tornillos.,200,FIJACIONES,https://server.com/img/cinta_209.jpg
INV-1210,Guantes de Jardinería con Garras,Guantes con puntas plásticas para cavar y plantar.,60,Jardinería,https://server.com/img/guantes_210.jpg
1211,Reflector LED para Carril 30W,Foco ajustable para sistemas de iluminación de riel.,40,iluminación,https://server.com/img/reflector_211.jpg
SKU-1212,Termómetro Infrarrojo Digital,Termómetro sin contacto para medir superficies.,25,Herramientas,https://server.com/img/termometro_212.jpg
4532U,Pintura Base Agua Mate 1 Galón,Pintura de interior lavable. Color amarillo.,16,Pintura,https://server.com/img/pintura_213.jpg
1214,Set de Llaves Torx con Punta,Juego de llaves en forma de estrella.,85,Manuales,https://server.com/img/torx_214.jpg
1215,Conector Eléctrico Rápido Wago,Terminal de conexión rápida para cables.,300,ELECTRICIDAD,NULL
NULL,Pasta Abrasiva para Pulido de Metales,Pasta para restaurar el brillo de superficies metálicas.,100,CONSUMIBLES,https://server.com/img/pasta_216.jpg
1217,Tubo LED T8 18W 1.2m,Tubo fluorescente LED de bajo consumo.,150,ILUMINACION,https://server.com/img/tubo_led_217.jpg
1218,Cerradura Cilindro para Buzón,Cerradura pequeña para gabinetes y buzones.,120,Herrajes,https://server.com/img/cerradura_218.jpg
1219,Juego de Machos y Terrajas Métricas,Herramientas para roscar tornillos y tuercas.,30,HERRAMIENTAS,https://server.com/img/machos_219.jpg
INV-1220,Codo PVC Sanitario 4 Pulgadas,Codo de gran diámetro para desagües.,50,FONTANERIA,https://server.com/img/codo_220.jpg
1221,Tornillos de Anclaje para Concreto,Pernos de expansión para fijaciones pesadas.,90,Fijaciones,https://server.com/img/anclaje_221.jpg
SKU-1222,Impermeabilizante Acrílico Fibra,Recubrimiento elástico con fibras, 5 años de garantía.,5,QUÍMICOS,https://server.com/img/impermeab_222.jpg
4532V,Pintura de Pizarrón Negro,Pintura especial para crear superficies de escritura.,-1,Pinturas,https://server.com/img/pizarron_223.jpg
"1224,Válvula Reguladora de Gas 1/2"",Válvula de seguridad para instalaciones de gas doméstico.,65,fontaneria,https://server.com/img/valvula_224.jpg"
1225,Machete de Monte 18 pulgadas,Herramienta de corte para agricultura y jardinería.,35,JARDINERÍA,https://server.com/img/machete_225.jpg
NULL,Detector de Humo Fotoeléctrico,Alarma de humo con sensor óptico.,70,SEGURIDAD,https://server.com/img/detector_226.jpg
1227,Sierra de Vaivén (Jigsaw) 600W,Herramienta para cortes curvos y rectos en madera y metal.,15,HERRAMIENTAS,https://server.com/img/jigsaw_227.jpg
1228,Cinta Aislante para Tuberías HVAC,Cinta de espuma para aislar conductos de aire.,80,Consumibles,https://server.com/img/cinta_228.jpg
1229,Destornillador de Impacto Manual,Herramienta para aflojar tornillos muy apretados.,45,Manuales,https://server.com/img/destorn_229.jpg
INV-1230,Set de Brocas para Router 12pcs,Fresa para router para perfiles y ranuras en madera.,50,Brocas,https://server.com/img/fresas_230.jpg
1231,Termostato Mecánico para Calentador,Controlador de temperatura para calentadores de agua.,90,ELECTRICIDAD,https://server.com/img/termostato_231.jpg
SKU-1232,Aceite para Motores 4 Tiempos 1L,Aceite sintético para herramientas a gasolina.,120,quimicos,https://server.com/img/aceite_232.jpg
4532W,Pintura Base Agua Mate 1 Galón,Pintura que cubre en una sola capa.,19,Pintura,https://server.com/img/pintura_233.jpg
1234,Manija y Pomo para Muebles Set 10pcs,Tiradores de gabinete de acero inoxidable.,150,HERRAJES,https://server.com/img/manijas_234.jpg
"1235,Tornillo Drywall Punta Fina 1"",Caja de 1000 unidades para placa de yeso.,NULL,fijaciones,https://server.com/img/tornillo_235.jpg"
"NULL,Set de Grifos de Jardín 1/2"",Grifos de bola para mangueras y exteriores.,110,Jardinería,https://server.com/img/grifos_236.jpg"
1237,Cinta LED 5 Metros Luz Cálida,Tira de LED flexible con adhesivo.,70,ILUMINACION,https://server.com/img/cinta_led_237.jpg
1238,Electrobomba Centrífuga 1 HP,Bomba para transferencia de fluidos limpios.,4,FONTANERIA,https://server.com/img/electrobomba_238.jpg
1239,Medidor de Ángulos Digital,Transportador digital con pantalla LCD.,20,Herramientas,https://server.com/img/medidor_239.jpg
INV-1240,Kit de Soldadura TIG Inverter,Equipo de soldadura de arco con tecnología TIG.,3,SOLDADURA,NULL
1241,Arnés de Sujeción para Trabajo en Altura,Cinturón y arnés de seguridad con cuerda.,10,SEGURIDAD,https://server.com/img/arnes_241.jpg
SKU-1242,Cepillo Eléctrico para Madera 800W,Herramienta para alisar y rebajar madera.,12,HERRAMIENTAS,https://server.com/img/cepillo_242.jpg
4532X,Pintura Base Agua Mate 1 Galón,Pintura con acabado satinado. Color azul claro.,18,Pinturas,https://server.com/img/pintura_243.jpg
"1244,Llave Inglesa Tipo Stillson 18"",Llave de fontanería para tuberías de gran diámetro.,30,Manuales,https://server.com/img/stillson_244.jpg"
1245,Adhesivo de Poliuretano Marino,Pegamento resistente al agua salada.,150,QUÍMICOS,https://server.com/img/poliuretano_245.jpg
"NULL,Disco de Corte para Azulejos 4"",Disco de diamante continuo para porcelanato.,100,CONSUMIBLES,https://server.com/img/disco_246.jpg"
1247,Conector Eléctrico Tipo Enchufe Hembra,Enchufe hembra para extensiones y aparatos.,250,ELECTRICIDAD,https://server.com/img/enchufe_247.jpg
1248,Juego de Brocas Avellanadoras,Brocas para crear orificios de cabeza embutida.,60,Brocas,https://server.com/img/avellanadoras_248.jpg
1249,Set de Accesorios para Compresor,Manguera, pistola de aire y acoples rápidos.,45,Herramientas,https://server.com/img/set_compresor_249.jpg
INV-1250,Regadera de Riego con Difusor,Regadera de mano con cabeza de riego fina.,90,JARDINERÍA,https://server.com/img/regadera_250.jpg
1251,Lámpara LED con Sensor de Movimiento,Luz de techo con detección de presencia.,70,ILUMINACION,https://server.com/img/lampara_251.jpg
SKU-1252,Tornillos para Metal Punta Broca,Tornillos autorroscantes con punta de taladro.,300,Fijaciones,https://server.com/img/tornillo_252.jpg
4532Y,Pintura para Tráfico Vial,Pintura de secado rápido para marcar carreteras.,-2,PINTURA,https://server.com/img/trafico_253.jpg
1254,Cerradura de Pomo con Llave,Pomo de puerta de entrada con cilindro de seguridad.,80,HERRAJES,https://server.com/img/pomo_254.jpg
1255,Kit de Juntas Tórica Surtidas,O-rings de goma para fontanería y mecánica.,200,FONTANERIA,NULL
NULL,Clavos de Acero 3 Pulgadas,Clavos para madera dura y construcción.,150,fijaciones,https://server.com/img/clavos_256.jpg
1257,Multímetro Analógico Básico,Medidor de voltaje y resistencia de aguja.,40,Herramientas,https://server.com/img/multimetro_257.jpg
1258,Rodillo de Goma para Empapelado,Rodillo para presionar y alisar papel tapiz.,65,Manuales,https://server.com/img/rodillo_258.jpg
1259,Set de Cables Puente para Batería,Cables para arrancar vehículos.,30,ELECTRICIDAD,https://server.com/img/cables_259.jpg
INV-1260,Adhesivo para Cerámica y Porcelanato,Pegamento para azulejos de alto rendimiento.,180,QUÍMICOS,https://server.com/img/adhesivo_260.jpg
1261,Set de Brocas Sierra Copa HSS,Brocas corona para cortes circulares en metal.,35,Brocas,https://server.com/img/sierra_copa_261.jpg
SKU-1262,Cinta Antideslizante para Escaleras,Cinta de seguridad para prevención de caídas.,70,SEGURIDAD,https://server.com/img/cinta_262.jpg
4532Z,Pintura Base Agua Mate 1 Galón,Pintura con recubrimiento lavable.,17,Pinturas,https://server.com/img/pintura_263.jpg
"1264,Llave de Carraca Reversible 1/4"",Matraca pequeña para espacios reducidos.,55,HERRAMIENTAS MANUALES,https://server.com/img/carraca_264.jpg"
1265,Lijadora de Detalle con Accesorios,Herramienta eléctrica para trabajos finos.,25,Herramientas,https://server.com/img/lijadora_265.jpg
"NULL,Manguera Plana para Drenaje 2"",Manguera enrollable para vaciado de piscinas o fosas.,12,JARDINERÍA,https://server.com/img/manguera_266.jpg"
"1267,Ventilador Extractor de Baño 4"",Extractor para humedad y malos olores.,40,FONTANERIA,https://server.com/img/extractor_267.jpg"
1268,Kit de Herramientas de Precisión 60pcs,Set de puntas para reparación de celulares y laptops.,90,Manuales,https://server.com/img/kit_268.jpg
1269,Tubo Corrugado para Cableado Eléctrico,Tubo flexible protector para cables.,150,ELECTRICIDAD,https://server.com/img/tubo_269.jpg
INV-1270,Pintura Fluorescente Spray Verde,Aerosol para señalización temporal.,80,Pintura,https://server.com/img/spray_270.jpg
1271,Adhesivo de Contacto Multiusos 1 Galón,Pegamento industrial para madera, cuero y tela.,NULL,quimicos,https://server.com/img/adhesivo_271.jpg
SKU-1272,Tornillos Cabeza Plana Avellanada,Tornillos para madera con acabado oculto.,200,FIJACIONES,https://server.com/img/tornillo_272.jpg
4533A,Pintura Vinílica Interior 1 Galón,Pintura con bajo olor. Color gris.,19,PINTURA,https://server.com/img/pintura_273.jpg
1274,Lámpara de Emergencia Recargable LED,Luz de respaldo con batería de larga duración.,35,ILUMINACION,https://server.com/img/lampara_274.jpg
1275,Set de Brocas para Metal HSS 13pcs,Brocas de acero rápido para perforar metales.,50,Brocas,NULL
NULL,Guantes de Protección Anticorte Nivel 5,Guantes de seguridad con fibras de aramida.,60,Seguridad,https://server.com/img/guantes_276.jpg
1277,Medidor de Espesores Digital,Calibrador vernier digital para alta precisión.,15,Herramientas,https://server.com/img/calibrador_277.jpg
1278,Cincel SDS Max para Hormigón,Cincel de punta para demolición pesada.,25,HERRAMIENTAS,https://server.com/img/cincel_278.jpg
1279,Soldadura para Tubería de Cobre SIN Plomo,Aleación de soldadura ecológica.,90,SOLDADURA,https://server.com/img/soldadura_279.jpg
INV-1280,Codo de Cobre 90 Grados 1/2 pulgada,Accesorio para tubería de cobre.,180,fontaneria,https://server.com/img/codo_280.jpg
1281,Pintura Base Agua Mate 1 Galón,Pintura con alta durabilidad.,20,PINTURAS,https://server.com/img/pintura_281.jpg
SKU-1282,Set de Desarmadores de Joyero 6pcs,Mini desarmadores para trabajos delicados.,110,Manuales,https://server.com/img/joyero_282.jpg
4533B,Pintura Base Agua Mate 1 Galón,Pintura de secado extra rápido.,-3,Pintura,https://server.com/img/pintura_283.jpg
"1284,Abrazadera de Acero Inoxidable 2"",Abrazadera para mangueras y tuberías.,400,Fijaciones,https://server.com/img/abrazadera_284.jpg"
"1285,Válvula Esférica de Latón 1/2"",Válvula de bola robusta para agua.,60,FONTANERIA,https://server.com/img/valvula_285.jpg"
NULL,Malla Anti-pájaro para Jardín 4x10m,Malla de polietileno para proteger árboles frutales.,15,JARDINERÍA,https://server.com/img/malla_286.jpg
1287,Pistola Calafateadora Eléctrica,Pistola a batería para selladores y siliconas.,12,Herramientas,https://server.com/img/calafateadora_287.jpg
1288,Adhesivo de PVC para Tuberías Flexibles,Pegamento especial para PVC flexible.,90,QUÍMICOS,https://server.com/img/adhesivo_288.jpg
1289,Tubo Termocontraíble Kit,Set de tubos que se encogen con calor para aislamiento.,75,ELECTRICIDAD,https://server.com/img/tubo_289.jpg
INV-1290,Linterna de Cabeza LED con Zoom,Linterna frontal recargable y resistente al agua.,55,ILUMINACION,https://server.com/img/cabeza_290.jpg
1291,Set de Brocas para Madera con Tope,Brocas con collarines ajustables de profundidad.,50,Brocas,https://server.com/img/brocas_291.jpg
SKU-1292,Botiquín de Primeros Auxilios Pequeño,Kit básico de emergencia para oficina.,70,SEGURIDAD,NULL
4533C,Pintura Acrílica Mate Exterior 1 Galón,Pintura resistente a rayos UV y lluvia.,16,PINTURAS,https://server.com/img/pintura_293.jpg
"1294,Llave de Tubo Extensible 3/8"",Matraca telescópica para mejor alcance.,35,HERRAMIENTAS MANUALES,https://server.com/img/llave_294.jpg"
1295,Soporte para Extintor de Pared,Soporte metálico para extintores de 5kg.,100,SEGURIDAD,https://server.com/img/soporte_295.jpg
NULL,Discos de Fibra para Pulir Metal,Discos abrasivos para acabado superficial.,150,CONSUMIBLES,https://server.com/img/discos_296.jpg
1297,Kit de Fontanería para Drenaje,Herramientas básicas para desatascar tuberías.,45,Fontaneria,https://server.com/img/kit_297.jpg
1298,Set de Lijas de Agua y Seco Grano Fino,Hojas de lija para acabados de pintura.,200,Consumibles,https://server.com/img/lijas_298.jpg
1299,Motor Sumergible 1/4 HP para Pozo,Motor para bombas de agua de pozo profundo.,8,JARDINERÍA,https://server.com/img/motor_299.jpg
1300-J,Pintura Spray Anti-graffiti Transparente,Recubrimiento protector contra vandalismo.,30,Pintura,https://server.com/img/graffiti_300.jpg
"1301-A,Sierra de Banco Portátil 8"",Sierra de mesa compacta para cortes pequeños.,15,HERRAMIENTAS,https://server.com/img/sierra_301.jpg"
SKU-1302,Candado con Alarma de Movimiento,Candado que emite un sonido al detectar manipulación.,50,SEGURIDAD,https://server.com/img/candado_302.jpg
"NULL,Manguera Plana Contra Incendios 2.5"",Manguera de alta presión para bomberos.,5,SEGURIDAD,https://server.com/img/manguera_303.jpg"
4533D,Pintura Base Agua Mate 1 Galón,Pintura interior con excelente cubrimiento.,18,Pinturas,https://server.com/img/pintura_304.jpg
1305,Set de Brocas de Pala para Madera 6pcs,Brocas planas para perforación rápida.,80,Brocas,https://server.com/img/brocas_305.jpg
1306,Grifo Monomando para Baño,Grifería de lavamanos con una sola palanca.,12,FONTANERIA,NULL
"INV-1307,Discos de Corte Inox 4.5"" Extra Finos,Disco abrasivo para cortes precisos en acero inoxidable.,150,CONSUMIBLES,https://server.com/img/disco_307.jpg"
1308,Cemento Rápido para Fontanería,Cemento de fraguado instantáneo para fugas.,NULL,QUIMICOS,https://server.com/img/cemento_308.jpg
1309,Juego de Destornilladores Intercambiables,Mango con 10 puntas diferentes.,90,Manuales,https://server.com/img/destorn_309.jpg
SKU_1310,Lámpara Halógena de Exterior 500W,Foco potente para seguridad y obras.,35,ILUMINACION,https://server.com/img/halogena_310.jpg
"1311,Tubo PVC Sanitario 3 Metros 4"",Tubería para desagüe.,25,fontaneria,https://server.com/img/tubo_311.jpg"
4533E,Pintura Base Agua Mate 1 Galón,Pintura lavable de alta calidad. Color blanco roto.,-2,PINTURA,https://server.com/img/pintura_312.jpg
1313,Llave de Tensión Ajustable Torque,Llave para apriete controlado de tuercas.,15,Herramientas,https://server.com/img/torque_313.jpg
1314-Y,Bomba de Presión para Fumigadora,Bomba manual para pulverización en jardín.,60,JARDINERÍA,https://server.com/img/bomba_314.jpg
NULL,Interruptor con Sensor de Proximidad,Interruptor que enciende al acercar la mano.,40,ELECTRICIDAD,https://server.com/img/sensor_315.jpg
1316,Pestillo de Seguridad para Puerta,Cerrojo de acero para seguridad adicional.,110,HERRAJES,https://server.com/img/pestillo_316.jpg
1317,Cinta de Embalaje Reforzada,Cinta con filamentos de fibra de vidrio.,150,Consumibles,NULL
INV-1318,Masilla Epóxica de Dos Componentes,Masilla moldeable para reparaciones en metal y madera.,80,QUÍMICOS,https://server.com/img/masilla_318.jpg
1319,Set de Llaves Combinadas Ratchet,Llaves con matraca en el extremo abierto.,25,Manuales,https://server.com/img/ratchet_319.jpg
SKU-1320,Tornillos para Concreto Cabeza Hex,Tornillos de anclaje directo al hormigón.,130,FIJACIONES,https://server.com/img/tornillo_320.jpg
1321,Taladro Inalámbrico 12V Compacto,Taladro-atornillador ligero con batería de iones de litio.,35,HERRAMIENTAS,https://server.com/img/taladro_321.jpg
4533F,Pintura para Canchas Deportivas,Pintura acrílica de alto tráfico para exteriores.,10,Pinturas,https://server.com/img/canchas_322.jpg
1323,Ventilador de Techo con Luz LED,Ventilador con 3 velocidades y control remoto.,30,ILUMINACION,https://server.com/img/ventilador_323.jpg
NULL,Válvula Check Vertical 1 pulgada,Válvula antirretorno para bombas.,90,fontaneria,https://server.com/img/valvula_324.jpg
1325,Kit de Accesorios para Soldadora,Cepillo de alambre, martillo y protector facial simple.,45,SOLDADURA,https://server.com/img/kit_soldadura_325.jpg
1326,Clavos para Concreto 1.5 pulgadas,Clavos de acero templado.,250,Fijaciones,https://server.com/img/clavos_326.jpg
"INV-1327,Brocas para Router Rectas 1/2"",Fresa recta para ranurado en madera.,55,Brocas,https://server.com/img/brocas_327.jpg"
SKU_1328,Guantes de Neopreno para Químicos,Guantes largos de alta resistencia a ácidos.,70,SEGURIDAD,https://server.com/img/guantes_328.jpg
1329,Motosierra Pértiga Eléctrica,Motosierra con extensión para podar ramas altas.,8,Jardinería,https://server.com/img/pertiga_329.jpg
1330,Cinta Métrica de Fibra de Vidrio 30m,Cinta larga para medición de terrenos.,40,HERRAMIENTAS MANUALES,https://server.com/img/cinta_330.jpg
1331-B,Sellador de Silicona Neutra Transparente,Sellador sin olor para superficies delicadas.,150,QUÍMICOS,https://server.com/img/sellador_331.jpg
4533G,Pintura Vinílica Premium 1 Galón,Pintura de alto rendimiento. Acabado mate.,NULL,PINTURA,https://server.com/img/pintura_332.jpg
1333,Regleta de Conexión Eléctrica 6 Tomas,Extension con supresor de picos y cable largo.,100,ELECTRICIDAD,https://server.com/img/regleta_333.jpg
NULL,Bisagra Oculta para Gabinete,Bisagra de cierre suave para puertas de cocina.,180,Herrajes,https://server.com/img/bisagra_334.jpg
1335,Lámpara Colgante LED Industrial,Foco de techo con diseño minimalista.,25,ILUMINACION,https://server.com/img/lampara_335.jpg
1336,Set de Discos de Corte para Dremel,Discos pequeños para herramienta rotativa.,300,consumibles,https://server.com/img/discos_336.jpg
INV-1337,Bomba Manual para Aceites y Combustibles,Bomba de trasiego para bidones.,30,Herramientas,https://server.com/img/bomba_337.jpg
SKU-1338,Tornillos Autorroscantes Cabeza Plana,Tornillos para metal y plástico.,250,fijaciones,https://server.com/img/tornillo_338.jpg
"1339,Set de Dados Largos 1/2"" 10pcs,Dados de impacto para tornillos largos.,65,Manuales,https://server.com/img/dados_339.jpg"
1340,Pistola para Cartuchos de Sellador Industrial,Pistola de alta resistencia para cartuchos grandes.,40,HERRAMIENTAS MANUALES,https://server.com/img/pistola_340.jpg
1341-C,Kit de Puntas de Destornillador 50pcs,Puntas de destornillador de cromo vanadio.,150,consumibles,https://server.com/img/puntas_341.jpg
4533H,Pintura Acrílica Mate Exterior 1 Galón,Pintura de alto rendimiento para exteriores.,17,Pinturas,https://server.com/img/pintura_342.jpg
1343,Flotador para Cisterna Sanitario,Flotador de llenado silencioso para tanque de inodoro.,90,FONTANERIA,https://server.com/img/flotador_343.jpg
NULL,Cemento para Reparación de Pisos,Mortero autonivelante para suelos.,5,QUÍMICOS,https://server.com/img/cemento_344.jpg
1345,Bomba de Calor para Piscina 1 HP,Bomba para climatización de agua de piscina.,-1,FONTANERIA,https://server.com/img/bomba_345.jpg
1346,Detector de Metales de Mano,Detector portátil para buscar cables y tuberías en muros.,20,Herramientas,https://server.com/img/detector_346.jpg
INV-1347,Set de Sierra de Corona para Madera,Brocas circulares para agujeros grandes.,45,Brocas,https://server.com/img/sierra_347.jpg
SKU_1348,Fusibles de Vidrio Surtidos 100pcs,Fusibles para protección de circuitos.,150,ELECTRICIDAD,https://server.com/img/fusibles_348.jpg
1349,Pala Redonda para Jardinería,Pala de acero con mango de madera.,70,JARDINERÍA,https://server.com/img/pala_349.jpg
1350,Luminaria LED Panel 60x60cm,Panel de luz empotrable para cielorraso.,30,ILUMINACION,https://server.com/img/panel_350.jpg
1351,Set de Brocas para Taladro de Banco,Brocas de acero de alta velocidad.,60,Brocas,https://server.com/img/brocas_351.jpg
4533I,Pintura Base Agua Mate 1 Galón,Pintura con acabado brillante. Color turquesa.,15,PINTURA,https://server.com/img/pintura_352.jpg
1353,Lijadora de Banda de Mesa,Lijadora estacionaria para taller.,4,HERRAMIENTAS,https://server.com/img/lijadora_353.jpg
NULL,Extintor de Polvo Químico ABC 10kg,Extintor para incendios de clase A, B y C.,20,seguridad,https://server.com/img/extintor_354.jpg
"1355,Grifo para Manguera Exterior 3/4"",Grifo de pared para conexión de manguera.,110,fontaneria,https://server.com/img/grifo_355.jpg"
1356,Soldadura MIG sin Gas 1kg,Carrete de alambre fundente para soldadora MIG.,30,SOLDADURA,https://server.com/img/mig_356.jpg
INV-1357,Kit de Primeros Auxilios para Vehículos,Botiquín compacto para carros.,85,SEGURIDAD,https://server.com/img/botiquin_357.jpg
SKU-1358,Set de Llaves Combinadas Mando Fijo,Juego de llaves mixtas sin matraca.,90,Manuales,https://server.com/img/llaves_358.jpg
1359,Pasta Lija para Carrocería Fina,Pasta de pulido para acabados de pintura.,100,consumibles,https://server.com/img/pasta_359.jpg
1360,Tornillos T-25 para Estructuras Madera,Tornillos grandes para construcción de terrazas.,70,fijaciones,https://server.com/img/tornillo_360.jpg
1361,Adhesivo de Poliuretano para Vidrio,Sellador elástico para parabrisas y vidrios.,140,QUÍMICOS,https://server.com/img/poliuretano_361.jpg
4533J,Pintura Vinílica Exterior 1 Galón,Pintura resistente al clima. Acabado semibrillo.,18,Pinturas,https://server.com/img/pintura_362.jpg
1363,Interruptor de Seguridad Industrial,Interruptor de corte de corriente de alta capacidad.,25,ELECTRICIDAD,https://server.com/img/interruptor_363.jpg
NULL,Motosierra a Batería 40V,Motosierra potente sin cables.,8,Jardinería,https://server.com/img/motosierra_364.jpg
1365,Caja de Herramientas Plástica Grande Ruedas,Caja con asa telescópica y ruedas para transporte.,15,Herramientas,https://server.com/img/caja_365.jpg
1366,Guantes de Trabajo Antivibración,Guantes para el uso de herramientas de impacto.,50,SEGURIDAD,https://server.com/img/guantes_366.jpg
INV-1367,Luminaria LED Hermética para Exterior,Foco sellado resistente al agua y polvo.,45,ILUMINACION,NULL
"SKU_1368,Tubo de Polietileno Alta Densidad 1"",Tubería negra para agua potable.,100,FONTANERIA,https://server.com/img/tubo_368.jpg"
1369,Set de Pinzas de Electrónica 4pcs,Pinzas de punta fina y corte para circuitos.,85,Manuales,https://server.com/img/pinzas_369.jpg
1370,Pintura Spray Alta Temperatura Negro,Aerosol resistente al calor para parrillas y motores.,150,pintura,https://server.com/img/spray_370.jpg
1371-D,Cinta Adhesiva de Aluminio,Cinta para sellar conductos de aire (HVAC).,120,Consumibles,https://server.com/img/cinta_371.jpg
4533K,Pintura Base Agua Mate 1 Galón,Pintura con aditivo antihongos.,NULL,PINTURA,https://server.com/img/pintura_372.jpg
1373,Brocas para Router de Moldura,Fresa para router para crear bordes decorativos.,30,Brocas,https://server.com/img/brocas_373.jpg
NULL,Pasta para Soldar Cobre y Plata,Fundente de alta actividad para tuberías.,70,SOLDADURA,https://server.com/img/pasta_374.jpg
1375,Cerradura Invisible Remota,Cerradura electrónica sin bocallave visible.,10,HERRAJES,https://server.com/img/cerradura_375.jpg
1376,Termostato Digital WiFi Programable,Termostato inteligente para calefacción/AC.,20,ELECTRICIDAD,https://server.com/img/termostato_376.jpg
INV-1377,Llave de T para Bujías 13mm,Llave de mango deslizante para bujías de motor.,60,HERRAMIENTAS MANUALES,https://server.com/img/llave_377.jpg
SKU-1378,Tornillos de Cabeza Redonda con Cuadrado,Tornillos coche para madera y metal.,150,fijaciones,https://server.com/img/tornillo_378.jpg
1379,Manguera de Riego por Goteo 100m,Tubería con emisores integrados.,15,JARDINERÍA,https://server.com/img/goteo_379.jpg
1380,Medidor de CO2 Digital Portátil,Instrumento para medir la calidad del aire interior.,25,Herramientas,https://server.com/img/co2_380.jpg
"1381,Lijadora de Banda de Mano 3x18"",Lijadora portátil para superficies planas.,10,HERRAMIENTAS,https://server.com/img/lijadora_381.jpg"
4533L,Pintura Impermeabilizante Elástica,Recubrimiento para muros exteriores.,12,Pinturas,https://server.com/img/impermeab_382.jpg
1383,Grifo de Cuello de Cisne para Cocina,Grifería alta con caño curvo.,18,FONTANERIA,https://server.com/img/grifo_383.jpg
NULL,Masilla para Juntas de Drywall,Compuesto de relleno para placas de yeso.,90,Consumibles,https://server.com/img/masilla_384.jpg
1385,Soplete de Gas Propano con Encendido,Antorcha para soldadura blanda y calentamiento.,45,SOLDADURA,https://server.com/img/soplete_385.jpg
1386,Set de Tarugos y Tornillos de Plástico,Anclajes para pared de ladrillo y concreto.,300,Fijaciones,https://server.com/img/tarugos_386.jpg
INV-1387,Guantes de Nitrilo Desechables 100pcs,Guantes sin polvo para químicos y limpieza.,200,seguridad,https://server.com/img/guantes_387.jpg
SKU_1388,Lámpara UV para Detección de Fugas,Linterna de luz negra para refrigerantes y aceites.,60,ILUMINACION,https://server.com/img/uv_388.jpg
1389,Bomba de Aire Eléctrica para Inflables,Bomba de bajo volumen y alta presión.,75,Herramientas,https://server.com/img/bomba_389.jpg
1390,Set de Lima Rotativa para Metal,Fresas de carburo de tungsteno para taladro.,40,Brocas,https://server.com/img/lima_390.jpg
1391-E,Adhesivo de Silicona Acética Negra,Sellador multiuso para baños y cocinas. Color negro.,120,QUÍMICOS,https://server.com/img/silicona_391.jpg
4533M,Pintura Base Agua Mate 1 Galón,Pintura con resistencia a la humedad.,NULL,Pintura,https://server.com/img/pintura_392.jpg
1393,Cerradura Electrónica con Teclado,Cerradura de puerta con código digital.,22,Herrajes,https://server.com/img/teclado_393.jpg
NULL,Cable de Red RJ45 15 Metros,Cable UTP Cat 6 pre-ensamblado.,100,ELECTRICIDAD,https://server.com/img/cable_394.jpg
1395,Mochila para Notebook y Herramientas,Mochila con compartimento acolchado para laptop.,18,SEGURIDAD,https://server.com/img/mochila_395.jpg
1396,Sierra de Mesa para Cerámica Húmeda,Cortadora de azulejos con bandeja de agua.,3,HERRAMIENTAS,https://server.com/img/sierra_396.jpg
"INV-1397,Pinzas de Presión Mordaza Curva 10"",Pinzas de sujeción ajustables.,80,Manuales,https://server.com/img/pinzas_397.jpg"
SKU-1398,Tubo de Abasto Flexible para WC,Manguera de conexión para inodoro.,150,FONTANERIA,https://server.com/img/abasto_398.jpg
